key,ward,town,pop,town_area,n,n_flood,depth_sum,depth_max,elev_sum,elev_min,tk_coverage,tk_flood_ratio,tk_mean_depth,tk_max_depth,tk_mean_elev,tk_min_elev,tk_below_sea,expo
台東区|谷中7丁目,台東区,谷中７丁目,1029.0,214462.29108298424,1840,104.0,8.31,0.35,32098.48,6.03,True,0.05652173913043478,0.07990384615384616,0.35,17.44482608695652,6.03,False,0.004516304347826087
墨田区|両国1丁目,墨田区,両国一丁目,1961.0,101716.28998933763,561,157.0,8.59,0.23,1189.48,1.36,True,0.2798573975044563,0.05471337579617834,0.23,2.120285204991087,1.36,False,0.015311942959001781
墨田区|両国2丁目,墨田区,両国二丁目,2282.0,79640.4330682019,737,202.0,18.37,0.29,1113.49,0.67,True,0.27408412483039346,0.09094059405940595,0.29,1.5108412483039348,0.67,False,0.024925373134328358
墨田区|両国3丁目,墨田区,両国三丁目,2163.0,62265.96408254326,553,263.0,52.92,0.42,626.49,0.56,True,0.4755877034358047,0.20121673003802282,0.42,1.1328933092224232,0.56,False,0.09569620253164557
墨田区|両国4丁目,墨田区,両国四丁目,2273.0,96317.08082528238,890,236.0,21.830000000000002,0.4,1198.52,0.65,True,0.2651685393258427,0.09250000000000001,0.4,1.3466516853932584,0.65,False,0.024528089887640454
墨田区|千歳1丁目,墨田区,千歳一丁目,2049.0,77891.4351217222,441,267.0,38.1,0.57,688.1,1.02,True,0.6054421768707483,0.14269662921348314,0.57,1.5603174603174603,1.02,False,0.08639455782312924
墨田区|千歳2丁目,墨田区,千歳二丁目,1092.0,47527.20659859187,426,311.0,60.21,0.64,558.0,0.62,True,0.7300469483568075,0.19360128617363345,0.64,1.3098591549295775,0.62,False,0.14133802816901408
墨田区|千歳3丁目,墨田区,千歳三丁目,2487.0,61166.353674842416,562,366.0,44.27,0.46,745.35,0.7,True,0.6512455516014235,0.12095628415300547,0.46,1.3262455516014235,0.7,False,0.07877224199288256
墨田区|緑1丁目,墨田区,緑一丁目,3715.0,95879.73547488509,873,387.0,26.6,0.27,1173.47,0.81,True,0.44329896907216493,0.06873385012919897,0.27,1.3441809851088202,0.81,False,0.030469644902634593
墨田区|緑2丁目,墨田区,緑二丁目,3567.0,94192.47283306386,861,489.0,54.0,0.34,845.72,0.41,True,0.5679442508710801,0.11042944785276074,0.34,0.982253193960511,0.41,False,0.0627177700348432
墨田区|緑3丁目,墨田区,緑三丁目,3536.0,91794.76446573023,840,472.0,54.54,0.56,605.97,0.05,True,0.5619047619047619,0.11555084745762711,0.56,0.7213928571428572,0.05,False,0.06492857142857143
墨田区|緑4丁目,墨田区,緑四丁目,5305.0,120106.714893144,1094,759.0,187.83,0.58,589.37,0.0,True,0.6937842778793418,0.2474703557312253,0.58,0.5387294332723949,0.0,False,0.171691042047532
墨田区|立川1丁目,墨田区,立川一丁目,1411.0,60737.82352370804,548,396.0,61.94,0.44,649.91,0.65,True,0.7226277372262774,0.15641414141414142,0.44,1.1859671532846714,0.65,False,0.11302919708029198
墨田区|立川2丁目,墨田区,立川二丁目,1586.0,54185.26965271275,488,364.0,72.69,0.48,475.48,0.37,True,0.7459016393442623,0.1996978021978022,0.48,0.974344262295082,0.37,False,0.1489549180327869
墨田区|立川3丁目,墨田区,立川三丁目,1923.0,65739.52945899448,593,462.0,122.74,0.57,339.56,0.02,True,0.7790893760539629,0.26567099567099567,0.57,0.5726138279932547,0.02,False,0.2069814502529511
墨田区|立川4丁目,墨田区,立川四丁目,2018.0,84176.4561982797,733,515.0,143.78,0.66,425.32,0.0,True,0.7025920873124147,0.2791844660194175,0.66,0.5802455661664393,0.0,False,0.19615279672578445
墨田区|菊川1丁目,墨田区,菊川一丁目,1893.0,68335.14029666352,653,356.0,69.19,0.55,557.12,0.15,True,0.5451761102603369,0.19435393258426967,0.55,0.8531699846860643,0.15,False,0.10595712098009187
墨田区|菊川2丁目,墨田区,菊川二丁目,2464.0,66428.85569505779,635,537.0,118.59,0.48,351.13,0.15,True,0.8456692913385827,0.22083798882681566,0.48,0.5529606299212598,0.15,False,0.18675590551181104
墨田区|菊川3丁目,墨田区,菊川三丁目,4085.0,112406.03992300024,1042,883.0,311.29,0.88,464.47,0.0,True,0.8474088291746641,0.3525368063420159,0.88,0.44574856046065264,0.0,False,0.298742802303263
