key,ward,town,pop,households,市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,ward_c,town_c,violent_r7,burglary_r7,serious_r7,daily,serious_r6,serious,serious_rate,daily_rate,serious_score,daily_score,safety_score,tk_coverage,tk_flood_ratio,tk_mean_depth,tk_max_depth,tk_mean_elev,tk_min_elev,tk_below_sea,tk_main_basin,tk_main_basin_ratio,tk_basins,ts_flood_ratio,ts_mean_depth,ts_max_depth,ts_exposure,liq_points,liq_small,liq_mid,liq_large,liq_pl,liq_pl_raw,liq_covered,liq_thin,liq_history,liq_1923,liq_2011,collapse_flow_ratio,collapse_erosion_ratio,collapse_ratio,collapse_zone,nat_ratio,nat_exposure,nat_main_rank,nat_main_label,nat_main_ratio,nat_max_rank,nat_max_label,nat_max_ratio,nat_main_river,nat_rivers,nat_covered,tokyo_exposure,flood_exposure,flood_source,flood_score,tide_exposure,tide_score,ground_score,elev_score,below_sea_flag,visitor_rate,business_area_flag
千代田区|丸の内1丁目,千代田区,丸の内一丁目,7.0,6.0,千代田区丸の内１丁目,552.0,2.0,2.0,0.0,62.0,0.0,43.0,19.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,260.0,0.0,0.0,7.0,0.0,0.0,0.0,22.0,1.0,27.0,111.0,92.0,225.0,78.0,41.0,7.0,0.0,99.0,千代田区,丸の内１丁目,64.0,0.0,64.0,57.0,50.0,114.0,,,,,,True,0.392308756397842,0.48407968970380816,3.09,3.182108618866095,-0.256,False,隅田川・新河岸川流域,0.9724964739069112,隅田川・新河岸川流域|神田川流域,0.902161224644317,0.37209587839812924,4.95,0.33569047334075913,12.0,5.0,4.0,3.0,9.25835893045974,9.375,True,False,False,False,False,0.0,0.0,0.0,False,0.8414205067325503,0.3147930551537349,1.0,0〜0.5m未満,0.7732385386149129,3.0,3.0〜5.0m未満,0.0009622116862459096,荒川,荒川,True,0.18990870106515423,0.3147930551537349,国管理河川,,0.33569047334075913,,,,False,,False
千代田区|丸の内2丁目,千代田区,丸の内二丁目,1.0,1.0,千代田区丸の内２丁目,51.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,9.0,5.0,26.0,14.0,4.0,1.0,0.0,7.0,千代田区,丸の内２丁目,4.0,0.0,4.0,7.0,6.0,10.0,,,,,,True,0.35598824393828066,0.6717750257997936,0.97,2.938638308712711,2.481,False,隅田川・新河岸川流域,1.0,隅田川・新河岸川流域,0.9943353003236722,0.3453413089373681,3.35,0.34338505413640796,1.0,1.0,0.0,0.0,6.539008342145459,2.5,True,True,False,False,False,0.0,0.0,0.0,False,0.9695655950254863,0.3654914411970256,1.0,0〜0.5m未満,0.8874989000649275,2.0,0.5〜3.0m未満,0.08206669496055893,荒川,荒川,True,0.23914401175606173,0.3654914411970256,国管理河川,,0.34338505413640796,,,,False,,False
千代田区|丸の内3丁目,千代田区,丸の内三丁目,0.0,0.0,千代田区丸の内３丁目,48.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,11.0,24.0,16.0,2.0,1.0,0.0,5.0,千代田区,丸の内３丁目,2.0,0.0,2.0,4.0,1.0,3.0,,,,,,True,0.2928660826032541,0.7681339031339032,1.73,2.9358668897855655,2.128749654,False,隅田川・新河岸川流域,1.0,隅田川・新河岸川流域,0.7954911305266543,0.47655967903711133,1.07,0.3790989978406512,4.0,3.0,0.0,1.0,7.436170837739397,6.875,True,False,False,False,False,0.0,0.0,0.0,False,0.7876026159204079,0.6606091529314495,1.0,0〜0.5m未満,0.47846361661972486,2.0,0.5〜3.0m未満,0.309138999300683,荒川,荒川,True,0.22496036712557366,0.6606091529314495,国管理河川,,0.3790989978406512,,,,False,,False
千代田区|大手町1丁目,千代田区,大手町一丁目,8.0,3.0,千代田区大手町１丁目,64.0,0.0,0.0,0.0,13.0,0.0,9.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,9.0,30.0,13.0,7.0,0.0,0.0,10.0,千代田区,大手町１丁目,13.0,0.0,13.0,6.0,7.0,20.0,,,,,,True,0.3117782909930716,0.4586127946127946,4.0,3.4699432889863533,0.091557101,False,隅田川・新河岸川流域,0.9481481481481482,隅田川・新河岸川流域|神田川流域,0.6261000158853789,0.3819174898314933,4.18,0.239118546450402,8.0,5.0,1.0,2.0,7.961702502643638,7.8125,True,False,False,False,False,0.0,0.0,0.0,False,0.261609345654384,0.12300212142639619,1.0,0〜0.5m未満,0.22320948897920573,2.0,0.5〜3.0m未満,0.038399856675178264,荒川,荒川,True,0.14298551333193363,0.14298551333193363,東京都,,0.239118546450402,,,,False,,False
千代田区|大手町2丁目,千代田区,大手町二丁目,0.0,0.0,千代田区大手町２丁目,24.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,11.0,5.0,2.0,0.0,0.0,4.0,千代田区,大手町２丁目,5.0,0.0,5.0,2.0,4.0,9.0,,,,,,True,0.30278756808715157,0.4752063492063492,2.0,3.32819847893015,0.046250144,False,隅田川・新河岸川流域,0.9788359788359788,隅田川・新河岸川流域|神田川流域,0.8094675430332531,0.5496894848270996,4.46,0.44495579671420693,5.0,3.0,2.0,0.0,6.37386071806234,5.5,True,False,False,False,False,0.0,0.0,0.0,False,0.6565969601056361,0.36602507041365856,1.0,0〜0.5m未満,0.5491038270193064,4.0,5.0〜10.0m未満,0.0011830770517150225,荒川,荒川,True,0.14388657481576417,0.36602507041365856,国管理河川,,0.44495579671420693,,,,False,,False
千代田区|内幸町1丁目,千代田区,内幸町一丁目,1.0,1.0,千代田区内幸町１丁目,19.0,0.0,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,1.0,0.0,0.0,0.0,2.0,千代田区,内幸町１丁目,6.0,0.0,6.0,1.0,0.0,6.0,,,,,,True,0.3777301927194861,0.9427551020408164,3.91,2.774766110770021,0.05,False,隅田川・新河岸川流域,1.0,隅田川・新河岸川流域,0.8739295630903421,0.7440337711069418,4.22,0.6502331085079492,3.0,2.0,1.0,0.0,6.423405005287276,5.0,True,False,False,False,False,0.0,0.0,0.0,False,0.8291575450052588,0.935881354765347,2.0,0.5〜3.0m未満,0.46267761165027194,3.0,3.0〜5.0m未満,0.009220146943888835,荒川,荒川,True,0.35610706638115636,0.935881354765347,国管理河川,,0.6502331085079492,,,,False,,False
千代田区|内幸町2丁目,千代田区,内幸町二丁目,0.0,0.0,千代田区内幸町２丁目,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,9.0,0.0,0.0,0.0,4.0,千代田区,内幸町２丁目,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,True,0.2255790533736153,0.33549107142857143,1.1,4.538869245886204,2.501254819,False,隅田川・新河岸川流域,1.0,隅田川・新河岸川流域,0.1590403527182869,0.7684146341463415,3.13,0.12220893444852753,1.0,1.0,0.0,0.0,6.539008342145459,2.5,True,True,False,False,False,0.0,0.0,0.0,False,0.09816591738447446,0.0745812305693389,1.0,0〜0.5m未満,0.06480608323567918,2.0,0.5〜3.0m未満,0.03335983414879527,荒川,荒川,True,0.0756797583081571,0.0756797583081571,東京都,,0.12220893444852753,,,,False,,False
千代田区|有楽町1丁目,千代田区,有楽町一丁目,8.0,6.0,千代田区有楽町１丁目,93.0,0.0,0.0,0.0,12.0,0.0,8.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,52.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,29.0,17.0,26.0,10.0,5.0,0.0,0.0,11.0,千代田区,有楽町１丁目,12.0,0.0,12.0,6.0,10.0,22.0,,,,,,True,0.37690839694656486,1.2609493670886076,2.01,2.3064988183043895,0.32,False,隅田川・新河岸川流域,1.0,隅田川・新河岸川流域,1.0,0.8173976342129208,2.82,0.8173976342129208,2.0,2.0,0.0,0.0,5.529256256609094,2.5,True,True,False,False,False,0.0,0.0,0.0,False,0.9999999999999868,1.5026790120905673,2.0,0.5〜3.0m未満,0.8351193413937088,2.0,0.5〜3.0m未満,0.8351193413937088,荒川,荒川,True,0.4752624045801526,1.5026790120905673,国管理河川,,0.8173976342129208,,,,False,,False
千代田区|有楽町2丁目,千代田区,有楽町二丁目,4.0,2.0,千代田区有楽町２丁目,129.0,0.0,0.0,0.0,11.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,4.0,67.0,22.0,17.0,7.0,5.0,2.0,0.0,3.0,千代田区,有楽町２丁目,11.0,0.0,11.0,11.0,12.0,23.0,,,,,,True,0.3896198830409357,0.7101125703564728,2.78,2.914859938758772,0.152530127,False,隅田川・新河岸川流域,1.0,隅田川・新河岸川流域,0.7086753480824345,0.46086614173228346,2.55,0.3266044734115346,2.0,1.0,0.0,1.0,9.904256256609095,11.25,True,True,False,False,False,0.0,0.0,0.0,False,0.764301572619392,0.6771552471199808,1.0,0〜0.5m未満,0.44189469683375493,3.0,3.0〜5.0m未満,0.001097573460616408,荒川,荒川,True,0.27667397660818716,0.6771552471199808,国管理河川,,0.3266044734115346,,,,False,,False
千代田区|霞が関1丁目,千代田区,霞が関一丁目,0.0,0.0,千代田区霞が関１丁目,38.0,1.0,0.0,1.0,8.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,21.0,1.0,2.0,0.0,4.0,千代田区,霞が関１丁目,9.0,0.0,9.0,0.0,4.0,13.0,,,,,,True,0.19351380326990084,0.2364265927977839,2.83,5.817115961985795,0.0,False,隅田川・新河岸川流域,1.0,隅田川・新河岸川流域,0.0,0.0,0.0,0.0,6.0,2.0,3.0,1.0,9.014628128304548,9.166666666666666,True,False,False,False,False,0.0,0.0,0.0,False,,0.0,,,,,,,,,False,0.04575180916644331,0.04575180916644331,東京都,,0.0,,,,False,,False
